Город,Дата,Погода
Москва,12.11.2002,-3
Москва,13.11.2002,-4
Москва,14.11.2002,0
Москва,15.11.2002,-1
Москва,16.11.2002,0
Екатеринбург,12.11.2002,-3
Екатеринбург,13.11.2002,-4
Екатеринбург,14.11.2002,0
Екатеринбург,15.11.2002,-1
Екатеринбург,16.11.2002,0
Новосибирск,12.11.2002,-10
Новосибирск,13.11.2002,-7
Новосибирск,14.11.2002,-6
Новосибирск,15.11.2002,-13
Новосибирск,16.11.2002,-20
Могилёв,12.11.2002,-3
Могилёв,13.11.2002,-4
Могилёв,14.11.2002,0
Могилёв,15.11.2002,-1
Могилёв,16.11.2002,0
Иркутск,12.11.2002,-10
Иркутск,13.11.2002,-7
Иркутск,14.11.2002,-11
Иркутск,15.11.2002,-13
Иркутск,16.11.2002,-30
Москва,12.11.2002,"-12,79"
Москва,13.11.2002,"-13,30923077"
Москва,14.11.2002,"-13,82846154"
Москва,15.11.2002,"-14,34769231"
Москва,16.11.2002,"-14,86692308"
Екатеринбург,12.11.2002,"-15,38615385"
Екатеринбург,13.11.2002,"-15,90538462"
Екатеринбург,14.11.2002,"-16,42461538"
Екатеринбург,15.11.2002,"-16,94384615"
Екатеринбург,16.11.2002,"-17,46307692"
Новосибирск,12.11.2002,"-17,98230769"
Новосибирск,13.11.2002,"-18,50153846"
Новосибирск,14.11.2002,"-19,02076923"
Новосибирск,15.11.2002,"-19,54"
Новосибирск,16.11.2002,"-20,05923077"
Могилёв,12.11.2002,"-20,57846154"
Могилёв,13.11.2002,"-21,09769231"
Могилёв,14.11.2002,"-21,61692308"
Могилёв,15.11.2002,"-22,13615385"
Москва,12.11.2002,"-22,65538462"
Москва,13.11.2002,"-23,17461538"
Москва,14.11.2002,"-23,69384615"
Москва,15.11.2002,"-24,21307692"
Москва,16.11.2002,"-24,73230769"
Екатеринбург,12.11.2002,"-25,25153846"
Екатеринбург,13.11.2002,"-25,77076923"
Екатеринбург,14.11.2002,"-26,29"
Екатеринбург,15.11.2002,"-26,80923077"
Екатеринбург,16.11.2002,"-27,32846154"
Новосибирск,12.11.2002,"-27,84769231"
Новосибирск,13.11.2002,"-28,36692308"
Новосибирск,14.11.2002,"-28,88615385"
Новосибирск,15.11.2002,"-29,40538462"
Новосибирск,16.11.2002,"-29,92461538"
Могилёв,12.11.2002,"-30,44384615"
Могилёв,13.11.2002,"-30,96307692"
Могилёв,14.11.2002,"-31,48230769"
Могилёв,15.11.2002,"-32,00153846"
Могилёв,16.11.2002,"-32,52076923"
Иркутск,12.11.2002,"-33,04"
Иркутск,13.11.2002,"-33,55923077"
Иркутск,14.11.2002,"-34,07846154"
Иркутск,15.11.2002,"-34,59769231"
Иркутск,16.11.2002,"-35,11692308"
Москва,12.11.2002,"-35,63615385"
Москва,13.11.2002,"-36,15538462"
Москва,14.11.2002,"-36,67461538"
Москва,15.11.2002,"-37,19384615"
Москва,16.11.2002,"-37,71307692"
Екатеринбург,12.11.2002,"-38,23230769"
Екатеринбург,13.11.2002,"-38,75153846"
Екатеринбург,14.11.2002,"-39,27076923"
Екатеринбург,15.11.2002,"-39,79"
Екатеринбург,16.11.2002,"-40,30923077"
Новосибирск,12.11.2002,"-40,82846154"
Новосибирск,13.11.2002,"-41,34769231"
Новосибирск,14.11.2002,"-41,86692308"
Новосибирск,15.11.2002,"-42,38615385"
Новосибирск,16.11.2002,"-42,90538462"
Могилёв,12.11.2002,"-43,42461538"
Могилёв,13.11.2002,"-43,94384615"
Могилёв,14.11.2002,"-44,46307692"
Могилёв,15.11.2002,"-44,98230769"
Москва,12.11.2002,"-45,50153846"
Москва,13.11.2002,"-46,02076923"
Москва,14.11.2002,"-46,54"
Москва,15.11.2002,"-47,05923077"
Москва,16.11.2002,"-47,57846154"
Екатеринбург,12.11.2002,"-48,09769231"
Екатеринбург,13.11.2002,"-48,61692308"
Екатеринбург,14.11.2002,"-49,13615385"
